id,name,category,price
1,Americano,HotCoffees,6500
2,EarlGreyTea,HotTeas,5000
3,PeppermintHotChocolate,HotDrinks,4500
4,PumpkinSpiceFrappuccino,Frappuccino,5000
5,ChoclateCreamColdBrew,ColdCoffees,4000
6,TevanaMango,IcedTeas,4000
7,DragonDrink,ColdDrinks,5000
8,Capuccino,HotCoffees,5500
9,ChaiTea,HotTeas,5500
10,SteamedAppleJuice,HotDrinks,4500
11,EspressoFrapuccino,Frappuccino,3000
12,IcedFlatWhite,ColdCoffees,7500
13,IcedBlackTea,IcedTeas,5000
14,PinkDrink,ColdDrinks,7000
15,CaffeLatte,HotCoffees,4500
